Avg_Degree,Lower_Bound_R0,Actual_R0,MPC Direct,MPC Lower Bound,MPC R0,Duration Direct,Duration Lower Bound,Duration R0,Avg Interval Direct,Avg Interval Lower Bound,Avg Interval R0
18.3,12.433041169532927,16.049234874405325,140.27749562406612,110.23355202690982,121.95471621073689,3.1633936659927713,0.12995283299824223,0.14780308298941236,28.296624095148836,21.135143768636397,24.834277706291477
19.55,13.22124774503337,17.288254824740296,140.86694758915067,110.57893971487711,122.37013023475917,3.7353491660032887,0.13623941599507816,0.14677354200102855,28.276646404295544,21.161794274991724,24.864145532367306
20.8,14.163853615027953,18.452399488687377,141.4382055142129,111.35835556927478,122.79881300619078,3.6605373749916907,0.14403675000357907,0.15422599999874365,28.27401153677599,21.169161735734296,24.89394195741496
22.05,15.229636502601615,19.63611760749815,141.90261258274396,112.46592298706489,123.50519917465078,4.125275166996289,0.14240075000270735,0.1798109170049429,28.26026806347128,21.161554408203987,24.905916748151604
23.3,16.754357498498255,20.753018246379646,142.34354589684332,114.8012874018332,124.70378070603942,4.175454334006645,0.16165587499563117,0.17304850000073202,28.26045042338359,21.10631155224263,24.894699506738245
24.55,17.673196700695428,21.740805108037268,142.75141937204793,116.47948066502245,126.50054760135099,4.3647393330029445,0.1626034590008203,0.17251037500682287,28.25632331006376,21.077837292100302,24.85547632201826
25.8,18.7587261821615,22.85240171282256,143.1067845782104,117.0664700515019,126.50400828872216,4.75304862500343,0.173445291002281,0.17402550000406336,28.26134096422202,21.08268707300519,24.89109116703454
27.05,21.029515197341276,23.976598218157317,143.4329992875478,120.43844894347576,127.11822081183195,5.0039144170004874,0.17440691599040292,0.1794696249999106,28.251099246498594,20.989791223847956,24.898258474061098
28.3,22.132064346477122,24.802299985808954,143.75772973388828,122.74362758697353,128.7973210623655,4.886739042005502,0.194388167001307,0.18176770801073872,28.26738974932442,20.938666088287686,24.858255361426785
29.55,23.11948801680177,25.773774330692312,144.0294972222471,124.79649798649602,130.6635709125756,5.290231582999695,0.1829585419909563,0.17952404099924024,28.263890015669986,20.894645215054474,24.801667503107943
30.8,23.579540545883553,26.63665742771846,144.28977313341133,125.94583105361482,132.59178823505704,5.669133250004961,0.1825082090072101,0.18154808301187586,28.26809213061073,20.88124244544279,24.73723565203816
32.05,24.424221671573136,27.539921217268738,144.5229127252634,127.97214062982842,134.51935732309707,5.292934457989759,0.1861558749951655,0.18573520799691323,28.27963643554657,20.834982573195184,24.66251960283913
33.3,25.665734483651683,28.661188180333507,144.73366894527692,128.5375061462211,134.4617667620431,6.228874167005415,0.1915489160019206,0.19223562499973923,28.27631610586541,20.834102082789443,24.69418750882649
34.55,27.03263182072439,29.65044880822348,144.92334884574433,130.66074459519604,135.62569896847427,6.986278582990053,0.18853291700361297,0.19875579100335017,28.282067004347688,24.926633220424158,24.652926833211232
35.8,28.713469997100056,30.740775650442725,145.10387359654314,132.17025062948176,135.79412575717396,6.3560459580039605,0.1861351670086151,0.19963216700125486,28.28092548922898,24.87507297316116,24.66941856717045
37.05,30.579947300412552,32.00331238575867,145.26654886371327,132.80022021931364,135.1665292754184,6.452516124991234,0.17812620800395962,0.19675258299685083,28.271146793355218,24.86122100243633,24.728351635619767
38.3,31.84069282409383,32.99764950408367,145.44079894527272,134.03538015751087,135.86723399203134,6.720016375009436,0.17009979199792724,0.16961212499882095,28.26700895989048,24.820313452552064,24.712825587792103
39.0,33.55942931065111,33.559429310651225,145.54345063137015,136.19354207207576,136.19352825838268,6.81802437499573,0.1704322500008857,0.16197608300717548,28.274456095364727,24.7076458199848,24.70764988494947
