Avg_Degree,Lower_Bound_R0,Actual_R0,Difference 1,Difference 2,Difference 3,Duration Direct,Duration Lower Bound,Duration R0
19.55,14.429760104238646,17.366861212250498,29.187005389027732,8.131994607977546,21.055010781050186,3.427410082993447,0.13247437500103842,0.13797304200124927
20.8,15.057432185477836,18.353338083219942,28.078415953646413,9.248063245789353,18.83035270785706,3.2905168750003213,0.1326257920009084,0.1397274579940131
22.05,15.764007161204605,19.463204250894627,28.03656445682533,9.756215759794856,18.280348697030476,3.396863999994821,0.13740087499900255,0.1435568750021048
23.3,16.712100618063488,20.482319756809478,27.090880589860987,9.736016897736349,17.35486369212464,3.814295124990167,0.14297416599583812,0.15039237499877345
24.55,17.487503406389596,21.55068399795756,26.51008888952866,10.145258732466772,16.36483015706189,4.590618165995693,0.14864254101121332,0.15557333298784215
25.8,19.009758492908027,22.581014743834103,24.617523811209225,8.752601474916261,15.864922336292963,4.443001040999661,0.15508595800201874,0.16307220800081268
27.05,19.6422346067586,23.598052733923108,24.045300217377672,9.4176422614145,14.627657955963173,4.423917250009254,0.15711575000023004,0.1648983750055777
28.3,20.845618876820467,24.558160295320178,21.867021417954376,8.79637907723152,13.070642340722856,4.774007125000935,0.16327345799072646,0.16895454200857785
29.55,22.2343185260966,25.56037787605931,19.24458477325129,7.65186775315405,11.59271702009724,4.726901332993293,0.1778995000058785,0.1767260000051465
30.8,23.538592881495155,26.72249775934361,18.913886054865756,6.860900968837811,12.052985086027945,5.066100041993195,0.17934929199691396,0.17973979200178292
32.05,24.654206469767978,27.776208796303987,18.110702299256175,6.410156084075609,11.700546215180566,5.573542374986573,0.184992707989295,0.18447104201186448
33.3,26.023150199295824,28.89059479584902,17.276393871602693,5.544601253268041,11.731792618334651,5.306975208004587,0.18682658299803734,0.18872358299267944
34.55,27.187432083894834,29.896136810410997,16.102405044532304,4.985254160342521,11.117150884189783,5.764760042002308,0.19040112500078976,0.1928967499989085
35.8,28.341648032433355,30.90173323736724,14.771138959854198,4.5229937657343555,10.248145194119843,5.867920000004233,0.1789310000021942,0.18897570799163077
37.05,30.278967946658227,31.986701893498765,13.245065747933012,2.8557519957119837,10.389313752221028,6.306206875000498,0.17781712500436697,0.18515254100202583
38.3,31.402051557228177,32.94260259050553,11.825171409565002,2.463510219112891,9.36166119045211,6.0296201659948565,0.16965633400832303,0.1693475420033792
39.0,33.55942931065111,33.559429310651225,9.349908559294391,-1.3813693072961541e-05,9.349922372987464,6.638019499994698,0.16286162499454804,0.15737145800085273
2.05,2.2499999999999982,2.2809220342858287,4.356755337832325,0.007293903984006533,4.349461433848319,0.5760090420080815,0.05640770799072925,0.05970145799801685
3.3,2.9481840965329607,3.1616813556559067,24.820431884796477,0.3676301405262734,24.452801744270204,0.6801619170000777,0.06204849999630824,0.0661346249980852
4.55,3.898644476797521,4.572322357543589,30.3242256449076,1.5645761170845702,28.75964952782303,0.8303564580128295,0.07749983298708685,0.07230725001136307
5.8,4.540061604920847,5.6505724385788945,33.517018919769995,3.063670404343142,30.453348515426853,0.7954713749932125,0.081436416003271,0.08624454200617038
7.05,5.193058075038294,6.787112488665304,35.0349899382644,4.893168454163003,30.1418214841014,1.123778166991542,0.08700825000414625,0.09069695799553301
8.3,6.222099796264031,8.002792918227577,35.872875799830865,5.009764717858502,30.863111081972363,1.2813002909970237,0.08864149999863002,0.09995837500900961
9.55,7.40220423634619,9.235807794601786,35.83753236615752,4.788929978547159,31.04860238761036,2.247944541988545,0.09922620799625292,0.1038177500013262
10.8,8.126777341210342,10.184323582855477,35.37459267291254,5.622432607639979,29.752160065272562,1.8828283750044648,0.10177833300258499,0.11645629099803045
12.05,9.36930626592528,11.269130333371209,34.03250325452677,5.400921790790306,28.631581463736467,2.3156290410115616,0.11355624999850988,0.12490458298998419
